#
# Protons precipitation map
# Simulation setup: northward IMF, same Solar wind as Aizawa et al. (2021)
# Simulation code: iPIC3D
# Simulation path: /home/flavorenti/Bureau/data_simu_iPIC3D/Mercury_SaeInit/PR0/Normal/texts/
# Output: Mean energy (Ram pressure) pcls per bin, units eV
# Output minimum: 1e-3
# Grid X-Axis (first row): local time [hours] from 0 to 24 with 50 equispaced bins
# Grid Y-Axis (first column): latitude [deg.] from -90 to 90 with 25 equispaced bins
# Signature: Federico Lavorenti
#
nan	0.240	0.720	1.200	1.680	2.160	2.640	3.120	3.600	4.080	4.560	5.040	5.520	6.000	6.480	6.960	7.440	7.920	8.400	8.880	9.360	9.840	10.320	10.800	11.280	11.760	12.240	12.720	13.200	13.680	14.160	14.640	15.120	15.600	16.080	16.560	17.040	17.520	18.000	18.480	18.960	19.440	19.920	20.400	20.880	21.360	21.840	22.320	22.800	23.280	23.760	
-86.400	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.601e+03	nan	1.606e+03	nan	1.698e+03	1.448e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
-79.200	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.782e+03	1.479e+03	1.519e+03	1.641e+03	1.540e+03	1.497e+03	1.601e+03	1.580e+03	1.556e+03	1.163e+03	1.516e+03	1.486e+03	1.589e+03	1.587e+03	1.447e+03	1.299e+03	1.565e+03	1.103e+03	1.612e+03	1.912e+03	nan	nan	2.620e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
-72.000	nan	nan	nan	nan	nan	nan	nan	nan	1.530e+03	1.449e+03	1.643e+03	1.457e+03	1.659e+03	1.343e+03	1.532e+03	1.580e+03	1.658e+03	1.585e+03	1.286e+03	1.448e+03	1.476e+03	1.494e+03	1.505e+03	1.594e+03	1.603e+03	1.707e+03	1.885e+03	1.973e+03	2.053e+03	2.157e+03	2.122e+03	2.349e+03	2.434e+03	nan	2.195e+03	1.768e+03	2.549e+03	2.237e+03	2.778e+03	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	
-64.800	nan	nan	nan	nan	nan	nan	nan	nan	1.722e+03	1.685e+03	1.569e+03	1.500e+03	1.591e+03	1.501e+03	1.466e+03	1.503e+03	1.628e+03	1.763e+03	1.678e+03	1.566e+03	1.629e+03	1.695e+03	1.703e+03	1.740e+03	1.744e+03	1.785e+03	1.984e+03	1.924e+03	2.133e+03	2.021e+03	2.142e+03	2.259e+03	2.110e+03	1.951e+03	1.638e+03	1.529e+03	2.375e+03	2.255e+03	1.518e+03	2.297e+03	1.554e+03	1.553e+03	nan	nan	nan	nan	nan	nan	nan	nan	
-57.600	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.685e+03	1.687e+03	1.466e+03	1.322e+03	nan	1.838e+03	1.440e+03	2.267e+03	2.102e+03	1.923e+03	1.883e+03	1.966e+03	1.914e+03	1.923e+03	1.963e+03	2.027e+03	2.063e+03	2.054e+03	1.982e+03	2.038e+03	2.065e+03	2.277e+03	2.362e+03	2.114e+03	1.817e+03	1.639e+03	1.397e+03	1.713e+03	1.096e+03	1.202e+03	1.935e+03	2.631e+03	2.812e+03	2.956e+03	nan	nan	nan	nan	nan	nan	nan	
-50.400	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.536e+03	1.760e+03	nan	1.980e+03	2.754e+03	2.365e+03	2.115e+03	2.199e+03	2.075e+03	1.974e+03	1.969e+03	1.970e+03	1.969e+03	1.897e+03	1.941e+03	2.014e+03	2.009e+03	2.193e+03	2.280e+03	2.366e+03	2.346e+03	1.853e+03	1.150e+03	1.371e+03	1.069e+03	9.568e+02	1.412e+03	1.524e+03	1.391e+03	1.543e+03	1.406e+03	7.050e+02	1.561e+03	9.295e+02	1.403e+03	1.636e+03	nan	nan	nan	
-43.200	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.519e+03	2.274e+03	2.098e+03	1.654e+03	1.909e+03	1.941e+03	2.114e+03	2.139e+03	2.154e+03	2.152e+03	2.177e+03	2.075e+03	1.988e+03	1.983e+03	2.133e+03	2.317e+03	2.459e+03	2.517e+03	2.544e+03	2.311e+03	1.167e+03	1.327e+03	1.225e+03	9.366e+02	1.295e+03	9.917e+02	1.353e+03	1.257e+03	1.321e+03	1.081e+03	8.343e+02	9.443e+02	8.154e+02	6.818e+02	8.741e+02	1.448e+03	nan	nan	
-36.000	1.315e+03	1.285e+03	1.314e+03	1.765e+03	2.141e+03	2.356e+03	2.362e+03	2.397e+03	2.414e+03	1.682e+03	1.534e+03	1.595e+03	1.607e+03	1.416e+03	1.427e+03	1.416e+03	2.111e+03	2.167e+03	2.192e+03	2.310e+03	2.342e+03	2.406e+03	2.360e+03	2.324e+03	2.222e+03	2.277e+03	2.513e+03	2.562e+03	2.727e+03	2.697e+03	2.417e+03	1.414e+03	1.388e+03	1.296e+03	1.255e+03	1.305e+03	1.114e+03	1.276e+03	1.318e+03	1.203e+03	1.190e+03	9.935e+02	9.263e+02	9.258e+02	7.610e+02	8.419e+02	9.947e+02	1.016e+03	1.317e+03	1.420e+03	
-28.800	1.667e+03	1.942e+03	2.040e+03	2.028e+03	1.843e+03	1.770e+03	1.649e+03	1.823e+03	1.763e+03	1.519e+03	1.500e+03	1.398e+03	1.389e+03	1.427e+03	1.244e+03	2.229e+03	2.271e+03	2.275e+03	2.312e+03	2.486e+03	2.529e+03	2.467e+03	2.540e+03	2.437e+03	2.357e+03	2.512e+03	2.628e+03	2.765e+03	2.713e+03	2.347e+03	1.614e+03	1.475e+03	1.535e+03	1.403e+03	1.404e+03	1.411e+03	1.433e+03	1.482e+03	1.248e+03	1.294e+03	1.094e+03	9.628e+02	1.022e+03	9.662e+02	1.023e+03	1.022e+03	1.482e+03	1.221e+03	1.393e+03	1.527e+03	
