# sen(phi)	 cos(phi)	 cos(theta)	 Jpar[nA/m2]
0.1328	0.9911	-0.0261	8.8958
0.1328	0.9911	0.0034	6.3662
0.1328	0.9911	0.0329	4.4282
0.1037	0.9946	-0.0851	16.3142
0.1037	0.9946	-0.0557	11.8662
0.1037	0.9946	-0.0262	8.5647
0.1037	0.9946	0.0035	6.1454
0.1037	0.9946	0.0331	4.3169
0.1037	0.9946	0.0626	2.8334
0.1037	0.9946	0.0919	1.5567
0.0742	0.9972	-0.1146	22.1571
0.0742	0.9972	-0.0853	16.2446
0.0742	0.9972	-0.0558	11.6882
0.0742	0.9972	-0.0262	8.3898
0.0742	0.9972	0.0035	6.0351
0.0742	0.9972	0.0331	4.2889
0.0742	0.9972	0.0627	2.8670
0.0742	0.9972	0.0922	1.6067
0.0446	0.9990	-0.1148	22.6119
0.0446	0.9990	-0.0855	16.4065
0.0446	0.9990	-0.0559	11.7274
0.0446	0.9990	-0.0263	8.3981
0.0446	0.9990	0.0035	6.0818
0.0446	0.9990	0.0332	4.3851
0.0446	0.9990	0.0628	2.9891
0.0446	0.9990	0.0923	1.7113
0.0446	0.9990	0.1216	0.4849
0.0149	0.9999	-0.1149	23.2660
0.0149	0.9999	-0.0855	16.8216
0.0149	0.9999	-0.0560	12.0108
0.0149	0.9999	-0.0263	8.6330
0.0149	0.9999	0.0035	6.3155
0.0149	0.9999	0.0332	4.6270
0.0149	0.9999	0.0629	3.2156
0.0149	0.9999	0.0924	1.8797
0.0149	0.9999	0.1217	0.5414
-0.0149	0.9999	-0.1149	24.2661
-0.0149	0.9999	-0.0855	17.5786
-0.0149	0.9999	-0.0560	12.5945
-0.0149	0.9999	-0.0263	9.0919
-0.0149	0.9999	0.0035	6.7133
-0.0149	0.9999	0.0332	4.9917
-0.0149	0.9999	0.0629	3.5276
-0.0149	0.9999	0.0924	2.1002
-0.0149	0.9999	0.1217	0.6133
-0.0446	0.9990	-0.1148	25.7597
-0.0446	0.9990	-0.0855	18.7465
-0.0446	0.9990	-0.0559	13.4963
-0.0446	0.9990	-0.0263	9.7895
-0.0446	0.9990	0.0035	7.2757
-0.0446	0.9990	0.0332	5.4609
-0.0446	0.9990	0.0628	3.9035
-0.0446	0.9990	0.0923	2.3535
-0.0446	0.9990	0.1216	0.6946
-0.0742	0.9972	-0.1146	27.9819
-0.0742	0.9972	-0.0853	20.4833
-0.0742	0.9972	-0.0558	14.8285
-0.0742	0.9972	-0.0262	10.8454
-0.0742	0.9972	0.0035	8.0904
-0.0742	0.9972	0.0331	6.0706
-0.0742	0.9972	0.0627	4.3440
-0.0742	0.9972	0.0922	2.6249
-0.1037	0.9946	-0.0851	23.0470
-0.1037	0.9946	-0.0557	16.8475
-0.1037	0.9946	-0.0262	12.3995
-0.1037	0.9946	0.0035	9.2285
-0.1037	0.9946	0.0331	6.8497
-0.1037	0.9946	0.0626	4.8348
-0.1037	0.9946	0.0919	2.8852
-0.1328	0.9911	-0.0261	14.4510
-0.1328	0.9911	0.0034	10.6499
-0.1328	0.9911	0.0329	7.7516
0.2524	0.9676	-0.1146	24.4339
0.2524	0.9676	-0.0853	18.6815
0.2524	0.9676	-0.0558	13.7144
0.2524	0.9676	-0.0262	9.7544
0.2524	0.9676	0.0035	6.7514
0.2524	0.9676	0.0331	4.5329
0.2524	0.9676	0.0627	2.8754
0.2524	0.9676	0.0922	1.5747
0.2243	0.9745	-0.1445	27.9150
0.2243	0.9745	-0.1154	22.2083
0.2243	0.9745	-0.0859	16.7120
0.2243	0.9745	-0.0562	12.1255
0.2243	0.9745	-0.0264	8.5621
0.2243	0.9745	0.0035	5.9078
0.2243	0.9745	0.0334	3.9706
0.2243	0.9745	0.0632	2.5234
0.2243	0.9745	0.0928	1.3804
0.2243	0.9745	0.1222	0.4050
0.2243	0.9745	0.1513	-0.4976
0.1956	0.9807	-0.1744	30.2839
0.1956	0.9807	-0.1454	25.5709
0.1956	0.9807	-0.1161	20.0292
0.1956	0.9807	-0.0865	14.8833
0.1956	0.9807	-0.0566	10.7125
0.1956	0.9807	-0.0266	7.5532
0.1956	0.9807	0.0035	5.2403
0.1956	0.9807	0.0336	3.5493
0.1956	0.9807	0.0636	2.2694
0.1956	0.9807	0.0934	1.2416
0.1956	0.9807	0.1230	0.3647
0.1956	0.9807	0.1522	-0.4303
0.1956	0.9807	0.1811	-1.1919
0.1664	0.9861	-0.2039	30.9933
0.1664	0.9861	-0.1753	28.4788
0.1664	0.9861	-0.1462	23.6403
0.1664	0.9861	-0.1167	18.2278
0.1664	0.9861	-0.0869	13.3790
0.1664	0.9861	-0.0569	9.5517
0.1664	0.9861	-0.0267	6.7359
0.1664	0.9861	0.0035	4.7144
0.1664	0.9861	0.0338	3.2359
0.1664	0.9861	0.0639	2.0932
0.1664	0.9861	0.0939	1.1528
0.1664	0.9861	0.1236	0.3409
0.1664	0.9861	0.1530	-0.3905
0.1664	0.9861	0.1820	-1.0799
0.1664	0.9861	0.2105	-1.7574
0.1368	0.9906	-0.2331	29.4979
0.1368	0.9906	-0.2048	30.8862
0.1368	0.9906	-0.1761	27.6885
0.1368	0.9906	-0.1469	22.4811
0.1368	0.9906	-0.1172	17.0230
0.1368	0.9906	-0.0873	12.2992
0.1368	0.9906	-0.0572	8.6791
0.1368	0.9906	-0.0268	6.1028
0.1368	0.9906	0.0035	4.3035
0.1368	0.9906	0.0339	3.0016
0.1368	0.9906	0.0642	1.9775
0.1368	0.9906	0.0943	1.1066
0.1368	0.9906	0.1242	0.3323
0.1368	0.9906	0.1537	-0.3742
0.1368	0.9906	0.1828	-1.0385
0.1368	0.9906	0.2115	-1.6902
0.1368	0.9906	0.2396	-2.3608
0.1068	0.9943	-0.2339	31.8285
0.1068	0.9943	-0.2056	32.0721
0.1068	0.9943	-0.1767	27.9679
0.1068	0.9943	-0.1474	22.1708
0.1068	0.9943	-0.1177	16.4374
0.1068	0.9943	-0.0876	11.6511
0.1068	0.9943	-0.0574	8.0972
0.1068	0.9943	-0.0269	5.6596
0.1068	0.9943	0.0036	4.0202
0.1068	0.9943	0.0341	2.8575
0.1068	0.9943	0.0645	1.9289
0.1068	0.9943	0.0947	1.1045
0.1068	0.9943	0.1246	0.3388
0.1068	0.9943	0.1543	-0.3792
0.1068	0.9943	0.1835	-1.0603
0.1068	0.9943	0.2122	-1.7262
0.1068	0.9943	0.2404	-2.4056
0.0765	0.9971	-0.2623	29.0059
0.0765	0.9971	-0.2345	35.2059
0.0765	0.9971	-0.2061	34.1108
0.0765	0.9971	-0.1772	29.0152
0.0765	0.9971	-0.1478	22.5145
0.0765	0.9971	-0.1180	16.3632
0.0765	0.9971	-0.0879	11.3955
0.0765	0.9971	-0.0575	7.8194
0.0765	0.9971	-0.0270	5.4484
0.0765	0.9971	0.0036	3.9128
0.0765	0.9971	0.0342	2.8447
0.0765	0.9971	0.0646	1.9718
0.0765	0.9971	0.0949	1.1569
0.0765	0.9971	0.1250	0.3620
0.0765	0.9971	0.1547	-0.4088
0.0765	0.9971	0.1840	-1.1496
0.0765	0.9971	0.2128	-1.8671
0.0765	0.9971	0.2411	-2.5810
0.0460	0.9989	-0.2628	34.4509
0.0460	0.9989	-0.2349	39.0644
0.0460	0.9989	-0.2065	36.6226
0.0460	0.9989	-0.1775	30.4981
0.0460	0.9989	-0.1481	23.2685
0.0460	0.9989	-0.1182	16.6722
0.0460	0.9989	-0.0881	11.4923
0.0460	0.9989	-0.0576	7.8637
0.0460	0.9989	-0.0271	5.5119
0.0460	0.9989	0.0036	4.0259
0.0460	0.9989	0.0342	2.9968
0.0460	0.9989	0.0648	2.1281
0.0460	0.9989	0.0951	1.2759
0.0460	0.9989	0.1252	0.4056
0.0460	0.9989	0.1550	-0.4669
0.0460	0.9989	0.1843	-1.3177
0.0460	0.9989	0.2132	-2.1344
0.0460	0.9989	0.2415	-2.9202
0.0460	0.9989	0.2692	-3.6956
0.0153	0.9999	-0.2630	39.6442
0.0153	0.9999	-0.2351	42.9008
0.0153	0.9999	-0.2067	39.2502
0.0153	0.9999	-0.1777	32.2086
0.0153	0.9999	-0.1482	24.3340
0.0153	0.9999	-0.1183	17.3284
0.0153	0.9999	-0.0881	11.9499
0.0153	0.9999	-0.0577	8.2317
0.0153	0.9999	-0.0271	5.8543
0.0153	0.9999	0.0036	4.3624
0.0153	0.9999	0.0342	3.3151
0.0153	0.9999	0.0648	2.3997
0.0153	0.9999	0.0952	1.4634
0.0153	0.9999	0.1253	0.4708
0.0153	0.9999	0.1551	-0.5541
0.0153	0.9999	0.1845	-1.5709
0.0153	0.9999	0.2134	-2.5452
0.0153	0.9999	0.2417	-3.4579
0.0153	0.9999	0.2694	-4.3125
-0.0153	0.9999	-0.2630	44.5426
-0.0153	0.9999	-0.2351	46.5954
-0.0153	0.9999	-0.2067	41.9019
-0.0153	0.9999	-0.1777	34.1063
-0.0153	0.9999	-0.1482	25.7222
-0.0153	0.9999	-0.1183	18.3880
-0.0153	0.9999	-0.0881	12.7847
-0.0153	0.9999	-0.0577	8.9147
-0.0153	0.9999	-0.0271	6.4424
-0.0153	0.9999	0.0036	4.8811
-0.0153	0.9999	0.0342	3.7647
-0.0153	0.9999	0.0648	2.7602
-0.0153	0.9999	0.0952	1.7033
-0.0153	0.9999	0.1253	0.5530
-0.0153	0.9999	0.1551	-0.6638
-0.0153	0.9999	0.1845	-1.8934
-0.0153	0.9999	0.2134	-3.0807
-0.0153	0.9999	0.2417	-4.1825
-0.0153	0.9999	0.2694	-5.1796
-0.0460	0.9989	-0.2628	49.4273
-0.0460	0.9989	-0.2349	50.4787
-0.0460	0.9989	-0.2065	44.9191
-0.0460	0.9989	-0.1775	36.4509
-0.0460	0.9989	-0.1481	27.6135
-0.0460	0.9989	-0.1182	19.9339
-0.0460	0.9989	-0.0881	14.0383
-0.0460	0.9989	-0.0576	9.9215
-0.0460	0.9989	-0.0271	7.2555
-0.0460	0.9989	0.0036	5.5458
-0.0460	0.9989	0.0342	4.2999
-0.0460	0.9989	0.0648	3.1661
-0.0460	0.9989	0.0951	1.9643
-0.0460	0.9989	0.1252	0.6415
-0.0460	0.9989	0.1550	-0.7812
-0.0460	0.9989	0.1843	-2.2447
-0.0460	0.9989	0.2132	-3.6784
-0.0460	0.9989	0.2415	-5.0191
-0.0460	0.9989	0.2692	-6.2244
-0.0765	0.9971	-0.2623	54.6391
-0.0765	0.9971	-0.2345	54.9920
-0.0765	0.9971	-0.2061	48.7756
-0.0765	0.9971	-0.1772	39.7188
-0.0765	0.9971	-0.1478	30.3200
-0.0765	0.9971	-0.1180	22.1121
-0.0765	0.9971	-0.0879	15.7897
-0.0765	0.9971	-0.0575	11.3115
-0.0765	0.9971	-0.0270	8.3400
-0.0765	0.9971	0.0036	6.3688
-0.0765	0.9971	0.0342	4.9020
-0.0765	0.9971	0.0646	3.5843
-0.0765	0.9971	0.0949	2.2160
-0.0765	0.9971	0.1250	0.7217
-0.0765	0.9971	0.1547	-0.8917
-0.0765	0.9971	0.1840	-2.5725
-0.0765	0.9971	0.2128	-4.2491
-0.0765	0.9971	0.2411	-5.8465
-0.1068	0.9943	-0.2339	60.4032
-0.1068	0.9943	-0.2056	53.7182
-0.1068	0.9943	-0.1767	44.0791
-0.1068	0.9943	-0.1474	34.0144
-0.1068	0.9943	-0.1177	25.1372
-0.1068	0.9943	-0.0876	18.2047
-0.1068	0.9943	-0.0574	13.2043
-0.1068	0.9943	-0.0269	9.7627
-0.1068	0.9943	0.0036	7.3740
-0.1068	0.9943	0.0341	5.5711
-0.1068	0.9943	0.0645	3.9979
-0.1068	0.9943	0.0947	2.4364
-0.1068	0.9943	0.1246	0.7822
-0.1068	0.9943	0.1543	-0.9836
-0.1068	0.9943	0.1835	-2.8314
-0.1068	0.9943	0.2122	-4.7054
-0.1068	0.9943	0.2404	-6.5337
-0.1368	0.9906	-0.2331	66.6371
-0.1368	0.9906	-0.2048	59.5389
-0.1368	0.9906	-0.1761	49.3198
-0.1368	0.9906	-0.1469	38.6009
-0.1368	0.9906	-0.1172	29.0326
-0.1368	0.9906	-0.0873	21.3657
-0.1368	0.9906	-0.0572	15.6364
-0.1368	0.9906	-0.0268	11.5193
-0.1368	0.9906	0.0035	8.5513
-0.1368	0.9906	0.0339	6.2980
-0.1368	0.9906	0.0642	4.3992
-0.1368	0.9906	0.0943	2.6161
-0.1368	0.9906	0.1242	0.8180
-0.1368	0.9906	0.1537	-1.0515
-0.1368	0.9906	0.1828	-2.9970
-0.1368	0.9906	0.2115	-4.9921
-0.1368	0.9906	0.2396	-6.9852
-0.1664	0.9861	-0.2039	65.6345
-0.1664	0.9861	-0.1753	55.0144
-0.1664	0.9861	-0.1462	43.7336
-0.1664	0.9861	-0.1167	33.4559
-0.1664	0.9861	-0.0869	24.9818
-0.1664	0.9861	-0.0569	18.4098
-0.1664	0.9861	-0.0267	13.4922
-0.1664	0.9861	0.0035	9.8415
-0.1664	0.9861	0.0338	7.0597
-0.1664	0.9861	0.0639	4.7853
-0.1664	0.9861	0.0939	2.7611
-0.1664	0.9861	0.1236	0.8315
-0.1664	0.9861	0.1530	-1.0974
-0.1664	0.9861	0.1820	-3.0718
-0.1664	0.9861	0.2105	-5.1027
-0.1956	0.9807	-0.1744	60.3419
-0.1956	0.9807	-0.1454	48.6697
-0.1956	0.9807	-0.1161	37.7866
-0.1956	0.9807	-0.0865	28.5466
-0.1956	0.9807	-0.0566	21.1475
-0.1956	0.9807	-0.0266	15.4380
-0.1956	0.9807	0.0035	11.1137
-0.1956	0.9807	0.0336	7.8050
-0.1956	0.9807	0.0636	5.1489
-0.1956	0.9807	0.0934	2.8841
-0.1956	0.9807	0.1230	0.8347
-0.1956	0.9807	0.1522	-1.1248
-0.1956	0.9807	0.1811	-3.0789
-0.2243	0.9745	-0.1445	52.5662
-0.2243	0.9745	-0.1154	41.3434
-0.2243	0.9745	-0.0859	31.5602
-0.2243	0.9745	-0.0562	23.4846
-0.2243	0.9745	-0.0264	17.1110
-0.2243	0.9745	0.0035	12.2185
-0.2243	0.9745	0.0334	8.4548
-0.2243	0.9745	0.0632	5.4636
-0.2243	0.9745	0.0928	2.9818
-0.2243	0.9745	0.1222	0.8242
-0.2243	0.9745	0.1513	-1.1524
-0.2524	0.9676	-0.1146	43.7126
-0.2524	0.9676	-0.0853	33.6989
-0.2524	0.9676	-0.0558	25.2110
-0.2524	0.9676	-0.0262	18.3767
-0.2524	0.9676	0.0035	13.0515
-0.2524	0.9676	0.0331	8.9318
-0.2524	0.9676	0.0627	5.6847
-0.2524	0.9676	0.0922	3.0424
0.3421	0.9396	-0.1148	24.4817
0.3421	0.9396	-0.0855	19.3776
0.3421	0.9396	-0.0559	14.7348
0.3421	0.9396	-0.0263	10.8044
0.3421	0.9396	0.0035	7.6257
0.3421	0.9396	0.0332	5.1314
0.3421	0.9396	0.0628	3.2108
0.3421	0.9396	0.0923	1.7265
0.3421	0.9396	0.1216	0.5095
0.3155	0.9489	-0.1741	33.2135
0.3155	0.9489	-0.1452	28.7483
0.3155	0.9489	-0.1159	23.4114
0.3155	0.9489	-0.0863	18.1802
0.3155	0.9489	-0.0565	13.5638
0.3155	0.9489	-0.0265	9.7774
0.3155	0.9489	0.0035	6.8248
0.3155	0.9489	0.0335	4.5900
0.3155	0.9489	0.0635	2.9073
0.3155	0.9489	0.0932	1.6004
0.3155	0.9489	0.1228	0.4932
0.3155	0.9489	0.1519	-0.5587
0.3155	0.9489	0.1807	-1.6518
0.2880	0.9576	-0.2325	31.3393
0.2880	0.9576	-0.2043	34.1082
0.2880	0.9576	-0.1756	31.8582
0.2880	0.9576	-0.1465	27.1455
0.2880	0.9576	-0.1169	21.6739
0.2880	0.9576	-0.0871	16.4529
0.2880	0.9576	-0.0570	11.9950
0.2880	0.9576	-0.0268	8.4860
0.2880	0.9576	0.0035	5.8575
0.2880	0.9576	0.0338	3.9316
0.2880	0.9576	0.0640	2.5120
0.2880	0.9576	0.0941	1.4069
0.2880	0.9576	0.1239	0.4476
0.2880	0.9576	0.1533	-0.4911
0.2880	0.9576	0.1823	-1.4822
0.2880	0.9576	0.2109	-2.5479
0.2599	0.9656	-0.2621	19.8889
0.2599	0.9656	-0.2343	30.1092
0.2599	0.9656	-0.2059	32.2344
0.2599	0.9656	-0.1770	29.6957
0.2599	0.9656	-0.1477	24.8973
0.2599	0.9656	-0.1179	19.4882
0.2599	0.9656	-0.0878	14.4680
0.2599	0.9656	-0.0575	10.3314
0.2599	0.9656	-0.0270	7.1907
0.2599	0.9656	0.0036	4.9185
0.2599	0.9656	0.0341	3.2994
0.2599	0.9656	0.0646	2.1215
0.2599	0.9656	0.0949	1.2008
0.2599	0.9656	0.1249	0.3899
0.2599	0.9656	0.1546	-0.4119
0.2599	0.9656	0.1838	-1.2588
0.2599	0.9656	0.2126	-2.1623
0.2599	0.9656	0.2409	-3.1095
0.2310	0.9729	-0.2640	18.8029
0.2310	0.9729	-0.2360	28.0571
0.2310	0.9729	-0.2074	29.7539
0.2310	0.9729	-0.1783	27.0438
0.2310	0.9729	-0.1488	22.3225
0.2310	0.9729	-0.1188	17.1525
0.2310	0.9729	-0.0885	12.4907
0.2310	0.9729	-0.0579	8.7827
0.2310	0.9729	-0.0272	6.0509
0.2310	0.9729	0.0036	4.1248
0.2310	0.9729	0.0344	2.7772
0.2310	0.9729	0.0651	1.7965
0.2310	0.9729	0.0956	1.0214
0.2310	0.9729	0.1258	0.3347
0.2310	0.9729	0.1557	-0.3393
0.2310	0.9729	0.1852	-1.0413
0.2310	0.9729	0.2141	-1.7815
0.2310	0.9729	0.2426	-2.5506
0.2310	0.9729	0.2704	-3.3451
0.2016	0.9795	-0.2930	-0.6302
0.2016	0.9795	-0.2656	17.8352
0.2016	0.9795	-0.2375	26.0472
0.2016	0.9795	-0.2088	27.2418
0.2016	0.9795	-0.1795	24.4263
0.2016	0.9795	-0.1497	19.8272
0.2016	0.9795	-0.1196	14.9504
0.2016	0.9795	-0.0891	10.7108
0.2016	0.9795	-0.0583	7.4432
0.2016	0.9795	-0.0274	5.1051
0.2016	0.9795	0.0036	3.4936
0.2016	0.9795	0.0346	2.3757
0.2016	0.9795	0.0655	1.5516
0.2016	0.9795	0.0962	0.8853
0.2016	0.9795	0.1266	0.2906
0.2016	0.9795	0.1567	-0.2839
0.2016	0.9795	0.1864	-0.8698
0.2016	0.9795	0.2155	-1.4805
0.2016	0.9795	0.2441	-2.1171
0.2016	0.9795	0.2721	-2.7804
0.2016	0.9795	0.2994	-3.4844
0.1716	0.9852	-0.3215	-28.3582
0.1716	0.9852	-0.2946	1.1049
0.1716	0.9852	-0.2670	17.9323
0.1716	0.9852	-0.2388	24.9340
0.1716	0.9852	-0.2099	25.4430
0.1716	0.9852	-0.1805	22.3673
0.1716	0.9852	-0.1506	17.7862
0.1716	0.9852	-0.1203	13.1421
0.1716	0.9852	-0.0896	9.2475
0.1716	0.9852	-0.0586	6.3389
0.1716	0.9852	-0.0275	4.3333
0.1716	0.9852	0.0036	2.9917
0.1716	0.9852	0.0348	2.0696
0.1716	0.9852	0.0659	1.3749
0.1716	0.9852	0.0968	0.7919
0.1716	0.9852	0.1274	0.2612
0.1716	0.9852	0.1576	-0.2482
0.1716	0.9852	0.1874	-0.7585
0.1716	0.9852	0.2167	-1.2869
0.1716	0.9852	0.2454	-1.8449
0.1716	0.9852	0.2735	-2.4386
0.1716	0.9852	0.3009	-3.0832
0.1411	0.9900	-0.3229	-22.9592
0.1411	0.9900	-0.2959	4.4367
0.1411	0.9900	-0.2682	19.4879
0.1411	0.9900	-0.2399	25.1724
0.1411	0.9900	-0.2109	24.8160
0.1411	0.9900	-0.1814	21.2190
0.1411	0.9900	-0.1513	16.4473
0.1411	0.9900	-0.1208	11.8692
0.1411	0.9900	-0.0900	8.1562
0.1411	0.9900	-0.0589	5.4828
0.1411	0.9900	0.0350	1.8459
0.1411	0.9900	0.0662	1.2601
0.1411	0.9900	0.0972	0.7404
0.1411	0.9900	0.1280	0.2475
0.1411	0.9900	0.1584	-0.2312
0.1411	0.9900	0.1883	-0.7070
0.1411	0.9900	0.2177	-1.1965
0.1411	0.9900	0.2466	-1.7165
0.1411	0.9900	0.2748	-2.2807
0.1411	0.9900	0.3023	-2.9106
0.1411	0.9900	0.3291	-3.6489
0.1101	0.9939	-0.3240	-15.9409
0.1101	0.9939	-0.2970	9.2890
0.1101	0.9939	-0.2692	22.4906
0.1101	0.9939	-0.2408	26.7876
0.1101	0.9939	-0.2117	25.3943
0.1101	0.9939	-0.1821	21.0629
0.1101	0.9939	-0.1519	15.8735
0.1101	0.9939	-0.1213	11.1450
0.1101	0.9939	0.0976	0.7377
0.1101	0.9939	0.1285	0.2514
0.1101	0.9939	0.1590	-0.2327
0.1101	0.9939	0.1890	-0.7128
0.1101	0.9939	0.2185	-1.1987
0.1101	0.9939	0.2475	-1.7074
0.1101	0.9939	0.2758	-2.2585
0.1101	0.9939	0.3034	-2.8802
0.1101	0.9939	0.3302	-3.6181
0.0789	0.9969	-0.3512	-45.4438
0.0789	0.9969	-0.3249	-8.1111
0.0789	0.9969	-0.2978	15.2052
0.0789	0.9969	-0.2700	26.6862
0.0789	0.9969	-0.2415	29.5037
0.0789	0.9969	-0.2123	26.9206
0.0789	0.9969	-0.1826	21.7171
0.0789	0.9969	-0.1523	15.9667
0.0789	0.9969	-0.1217	10.9420
0.0789	0.9969	0.1289	0.2757
0.0789	0.9969	0.1594	-0.2551
0.0789	0.9969	0.1896	-0.7799
0.0789	0.9969	0.2192	-1.2969
0.0789	0.9969	0.2482	-1.8169
0.0789	0.9969	0.2765	-2.3601
0.0789	0.9969	0.3042	-2.9586
0.0789	0.9969	0.3311	-3.6607
0.0474	0.9989	-0.3518	-36.0424
0.0474	0.9989	-0.3255	-0.2356
0.0474	0.9989	-0.2983	21.5369
0.0474	0.9989	-0.2705	31.5078
0.0474	0.9989	-0.2419	32.8505
0.0474	0.9989	-0.2127	29.0308
0.0474	0.9989	-0.1829	22.9156
0.0474	0.9989	-0.1526	16.5629
0.0474	0.9989	0.1597	-0.3005
0.0474	0.9989	0.1899	-0.9156
0.0474	0.9989	0.2196	-1.5053
0.0474	0.9989	0.2486	-2.0682
0.0474	0.9989	0.2770	-2.6180
0.0474	0.9989	0.3047	-3.1850
0.0474	0.9989	0.3317	-3.8167
0.0474	0.9989	0.3578	-4.5815
0.0158	0.9999	-0.3521	-27.9091
0.0158	0.9999	-0.3258	6.8729
0.0158	0.9999	-0.2986	27.5751
0.0158	0.9999	-0.2707	36.2710
0.0158	0.9999	-0.2421	36.3303
0.0158	0.9999	-0.2129	31.4141
0.0158	0.9999	-0.1831	24.4572
0.0158	0.9999	-0.1528	17.5493
0.0158	0.9999	0.1599	-0.3682
0.0158	0.9999	0.1901	-1.1202
0.0158	0.9999	0.2198	-1.8311
0.0158	0.9999	0.2489	-2.4832
0.0158	0.9999	0.2773	-3.0764
0.0158	0.9999	0.3050	-3.6323
0.0158	0.9999	0.3320	-4.1924
0.0158	0.9999	0.3581	-4.8224
-0.0158	0.9999	-0.3521	-21.4132
-0.0158	0.9999	-0.3258	12.9489
-0.0158	0.9999	-0.2986	32.9733
-0.0158	0.9999	-0.2707	40.7371
-0.0158	0.9999	-0.2421	39.7567
-0.0158	0.9999	-0.2129	33.9320
-0.0158	0.9999	-0.1831	26.2832
-0.0158	0.9999	-0.1528	18.9180
-0.0158	0.9999	0.1599	-0.4516
-0.0158	0.9999	0.1901	-1.3776
-0.0158	0.9999	0.2198	-2.2562
-0.0158	0.9999	0.2489	-3.0518
-0.0158	0.9999	0.2773	-3.7460
-0.0158	0.9999	0.3050	-4.3454
-0.0158	0.9999	0.3320	-4.8816
-0.0158	0.9999	0.3581	-5.4166
-0.0474	0.9989	-0.3518	-16.0883
-0.0474	0.9989	-0.3255	18.5166
-0.0474	0.9989	-0.2983	38.0845
-0.0474	0.9989	-0.2705	45.0869
-0.0474	0.9989	-0.2419	43.2777
-0.0474	0.9989	-0.2127	36.7398
-0.0474	0.9989	-0.1829	28.5498
-0.0474	0.9989	-0.1526	20.7555
-0.0474	0.9989	0.1597	-0.5400
-0.0474	0.9989	0.1899	-1.6561
-0.0474	0.9989	0.2196	-2.7329
-0.0474	0.9989	0.2486	-3.7202
-0.0474	0.9989	0.2770	-4.5810
-0.0474	0.9989	0.3047	-5.3042
-0.0474	0.9989	0.3317	-5.9085
-0.0474	0.9989	0.3578	-6.4486
-0.0789	0.9969	-0.3512	-11.0534
-0.0789	0.9969	-0.3249	24.1290
-0.0789	0.9969	-0.2978	43.4445
-0.0789	0.9969	-0.2700	49.7789
-0.0789	0.9969	-0.2415	47.3205
-0.0789	0.9969	-0.2123	40.2118
-0.0789	0.9969	-0.1826	31.5202
-0.0789	0.9969	-0.1523	23.2243
-0.0789	0.9969	-0.1217	16.4534
-0.0789	0.9969	0.1289	0.6338
-0.0789	0.9969	0.1594	-0.6228
-0.0789	0.9969	0.1896	-1.9177
-0.0789	0.9969	0.2192	-3.1963
-0.0789	0.9969	0.2482	-4.4014
-0.0789	0.9969	0.2765	-5.4834
-0.0789	0.9969	0.3042	-6.4147
-0.0789	0.9969	0.3311	-7.1970
-0.1101	0.9939	-0.3240	30.0087
-0.1101	0.9939	-0.2970	49.2372
-0.1101	0.9939	-0.2692	55.2281
-0.1101	0.9939	-0.2408	52.3343
-0.1101	0.9939	-0.2117	44.7040
-0.1101	0.9939	-0.1821	35.4104
-0.1101	0.9939	-0.1519	26.4963
-0.1101	0.9939	-0.1213	19.1354
-0.1101	0.9939	0.0976	1.9858
-0.1101	0.9939	0.1285	0.6885
-0.1101	0.9939	0.1590	-0.6921
-0.1101	0.9939	0.1890	-2.1297
-0.1101	0.9939	0.2185	-3.5832
-0.1101	0.9939	0.2475	-5.0000
-0.1101	0.9939	0.2758	-6.3268
-0.1101	0.9939	0.3034	-7.5253
-0.1101	0.9939	0.3302	-8.5805
-0.1411	0.9900	-0.3229	36.0973
-0.1411	0.9900	-0.2959	55.4153
-0.1411	0.9900	-0.2682	61.4035
-0.1411	0.9900	-0.2399	58.2590
-0.1411	0.9900	-0.2109	50.1299
-0.1411	0.9900	-0.1814	40.1900
-0.1411	0.9900	-0.1513	30.5926
-0.1411	0.9900	-0.1208	22.5173
-0.1411	0.9900	-0.0900	16.3355
-0.1411	0.9900	-0.0589	11.8892
-0.1411	0.9900	0.0350	4.9382
-0.1411	0.9900	0.0662	3.5040
-0.1411	0.9900	0.0972	2.1272
-0.1411	0.9900	0.1280	0.7215
-0.1411	0.9900	0.1584	-0.7451
-0.1411	0.9900	0.1883	-2.2765
-0.1411	0.9900	0.2177	-3.8555
-0.1411	0.9900	0.2466	-5.4450
-0.1411	0.9900	0.2748	-6.9998
-0.1411	0.9900	0.3023	-8.4806
-0.1411	0.9900	0.3291	-9.8603
-0.1716	0.9852	-0.3215	42.2560
-0.1716	0.9852	-0.2946	61.6367
-0.1716	0.9852	-0.2670	67.6971
-0.1716	0.9852	-0.2388	64.4092
-0.1716	0.9852	-0.2099	55.9179
-0.1716	0.9852	-0.1805	45.4569
-0.1716	0.9852	-0.1506	35.1920
-0.1716	0.9852	-0.1203	26.3269
-0.1716	0.9852	-0.0896	19.3119
-0.1716	0.9852	-0.0586	14.0827
-0.1716	0.9852	-0.0275	10.2988
-0.1716	0.9852	0.0036	7.5624
-0.1716	0.9852	0.0348	5.4938
-0.1716	0.9852	0.0659	3.7855
-0.1716	0.9852	0.0968	2.2394
-0.1716	0.9852	0.1274	0.7379
-0.1716	0.9852	0.1576	-0.7844
-0.1716	0.9852	0.1874	-2.3624
-0.1716	0.9852	0.2167	-4.0083
-0.1716	0.9852	0.2454	-5.7120
-0.1716	0.9852	0.2735	-7.4467
