2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25,2.7482e+25
5.4753e+25,5.475e+25,5.4739e+25,5.4742e+25,5.4753e+25,5.4753e+25,5.475e+25,5.4739e+25,5.4743e+25,5.4753e+25,5.4753e+25,5.475e+25,5.474e+25,5.4742e+25,5.4753e+25,5.4753e+25,5.475e+25,5.474e+25,5.4742e+25,5.4753e+25,5.4753e+25,5.475e+25,5.474e+25,5.4742e+25,5.4752e+25,5.4752e+25,5.4743e+25,5.474e+25,5.4748e+25,5.4753e+25,5.4753e+25,5.4743e+25,5.474e+25,5.4749e+25,5.4753e+25,5.4753e+25,5.4743e+25,5.474e+25,5.4749e+25,5.4753e+25,5.4753e+25,5.4743e+25,5.474e+25,5.4748e+25,5.4753e+25,5.4753e+25,5.4743e+25,5.474e+25,5.4748e+25,5.4753e+25
1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0864e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0864e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0864e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0864e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0863e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0863e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0863e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0863e+26,1.0864e+26,1.0864e+26,1.0862e+26,1.0862e+26,1.0863e+26,1.0864e+26
1.6082e+26,1.6081e+26,1.6078e+26,1.6079e+26,1.6082e+26,1.6082e+26,1.6081e+26,1.6078e+26,1.6079e+26,1.6082e+26,1.6082e+26,1.6081e+26,1.6078e+26,1.6079e+26,1.6082e+26,1.6082e+26,1.6081e+26,1.6078e+26,1.6079e+26,1.6082e+26,1.6082e+26,1.6081e+26,1.6078e+26,1.6079e+26,1.6082e+26,1.6082e+26,1.6079e+26,1.6078e+26,1.6081e+26,1.6082e+26,1.6082e+26,1.6079e+26,1.6078e+26,1.6081e+26,1.6082e+26,1.6082e+26,1.6079e+26,1.6078e+26,1.6081e+26,1.6082e+26,1.6082e+26,1.6079e+26,1.6078e+26,1.6081e+26,1.6082e+26,1.6082e+26,1.6079e+26,1.6078e+26,1.6081e+26,1.6082e+26
2.1046e+26,2.1045e+26,2.1041e+26,2.1042e+26,2.1046e+26,2.1046e+26,2.1045e+26,2.1041e+26,2.1042e+26,2.1046e+26,2.1046e+26,2.1045e+26,2.1041e+26,2.1042e+26,2.1046e+26,2.1046e+26,2.1045e+26,2.1041e+26,2.1042e+26,2.1046e+26,2.1046e+26,2.1045e+26,2.1041e+26,2.1042e+26,2.1046e+26,2.1046e+26,2.1042e+26,2.1041e+26,2.1044e+26,2.1046e+26,2.1046e+26,2.1042e+26,2.1041e+26,2.1044e+26,2.1046e+26,2.1046e+26,2.1042e+26,2.1041e+26,2.1044e+26,2.1046e+26,2.1046e+26,2.1042e+26,2.1041e+26,2.1044e+26,2.1046e+26,2.1046e+26,2.1042e+26,2.1041e+26,2.1044e+26,2.1046e+26
2.5678e+26,2.5676e+26,2.5672e+26,2.5673e+26,2.5678e+26,2.5678e+26,2.5676e+26,2.5672e+26,2.5673e+26,2.5678e+26,2.5678e+26,2.5676e+26,2.5672e+26,2.5673e+26,2.5678e+26,2.5678e+26,2.5676e+26,2.5672e+26,2.5673e+26,2.5678e+26,2.5678e+26,2.5676e+26,2.5672e+26,2.5673e+26,2.5678e+26,2.5678e+26,2.5673e+26,2.5672e+26,2.5676e+26,2.5678e+26,2.5678e+26,2.5673e+26,2.5672e+26,2.5676e+26,2.5678e+26,2.5678e+26,2.5673e+26,2.5672e+26,2.5676e+26,2.5678e+26,2.5678e+26,2.5673e+26,2.5672e+26,2.5676e+26,2.5678e+26,2.5678e+26,2.5673e+26,2.5672e+26,2.5676e+26,2.5678e+26
2.9905e+26,2.9903e+26,2.9898e+26,2.9899e+26,2.9905e+26,2.9905e+26,2.9903e+26,2.9898e+26,2.9899e+26,2.9905e+26,2.9905e+26,2.9903e+26,2.9898e+26,2.9899e+26,2.9905e+26,2.9905e+26,2.9903e+26,2.9898e+26,2.9899e+26,2.9905e+26,2.9905e+26,2.9903e+26,2.9898e+26,2.9899e+26,2.9905e+26,2.9905e+26,2.99e+26,2.9898e+26,2.9903e+26,2.9905e+26,2.9905e+26,2.99e+26,2.9898e+26,2.9903e+26,2.9905e+26,2.9905e+26,2.99e+26,2.9898e+26,2.9903e+26,2.9905e+26,2.9905e+26,2.99e+26,2.9898e+26,2.9903e+26,2.9905e+26,2.9905e+26,2.99e+26,2.9898e+26,2.9903e+26,2.9905e+26
3.366e+26,3.3659e+26,3.3652e+26,3.3654e+26,3.366e+26,3.3661e+26,3.3659e+26,3.3652e+26,3.3654e+26,3.366e+26,3.3661e+26,3.3659e+26,3.3652e+26,3.3654e+26,3.366e+26,3.3661e+26,3.3659e+26,3.3652e+26,3.3654e+26,3.366e+26,3.3661e+26,3.3659e+26,3.3652e+26,3.3654e+26,3.366e+26,3.366e+26,3.3655e+26,3.3652e+26,3.3658e+26,3.3661e+26,3.366e+26,3.3655e+26,3.3652e+26,3.3658e+26,3.3661e+26,3.366e+26,3.3655e+26,3.3652e+26,3.3658e+26,3.3661e+26,3.366e+26,3.3655e+26,3.3652e+26,3.3658e+26,3.3661e+26,3.366e+26,3.3655e+26,3.3652e+26,3.3658e+26,3.366e+26
3.6885e+26,3.6883e+26,3.6876e+26,3.6878e+26,3.6885e+26,3.6885e+26,3.6883e+26,3.6876e+26,3.6878e+26,3.6885e+26,3.6885e+26,3.6883e+26,3.6876e+26,3.6878e+26,3.6885e+26,3.6885e+26,3.6883e+26,3.6876e+26,3.6878e+26,3.6885e+26,3.6885e+26,3.6883e+26,3.6876e+26,3.6878e+26,3.6885e+26,3.6885e+26,3.6879e+26,3.6876e+26,3.6882e+26,3.6885e+26,3.6885e+26,3.6879e+26,3.6876e+26,3.6882e+26,3.6885e+26,3.6885e+26,3.6879e+26,3.6876e+26,3.6882e+26,3.6885e+26,3.6885e+26,3.6879e+26,3.6876e+26,3.6882e+26,3.6885e+26,3.6885e+26,3.6879e+26,3.6876e+26,3.6882e+26,3.6885e+26
3.9528e+26,3.9526e+26,3.9518e+26,3.9521e+26,3.9528e+26,3.9528e+26,3.9526e+26,3.9518e+26,3.9521e+26,3.9528e+26,3.9528e+26,3.9526e+26,3.9519e+26,3.9521e+26,3.9528e+26,3.9528e+26,3.9526e+26,3.9519e+26,3.952e+26,3.9528e+26,3.9528e+26,3.9526e+26,3.9519e+26,3.952e+26,3.9528e+26,3.9528e+26,3.9521e+26,3.9519e+26,3.9525e+26,3.9528e+26,3.9528e+26,3.9521e+26,3.9519e+26,3.9525e+26,3.9528e+26,3.9528e+26,3.9521e+26,3.9519e+26,3.9525e+26,3.9528e+26,3.9528e+26,3.9521e+26,3.9519e+26,3.9525e+26,3.9528e+26,3.9528e+26,3.9521e+26,3.9519e+26,3.9525e+26,3.9528e+26
