2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22,2.7482e+22
5.4753e+22,5.475e+22,5.4739e+22,5.4742e+22,5.4753e+22,5.4753e+22,5.475e+22,5.4739e+22,5.4743e+22,5.4753e+22,5.4753e+22,5.475e+22,5.474e+22,5.4742e+22,5.4753e+22,5.4753e+22,5.475e+22,5.474e+22,5.4742e+22,5.4753e+22,5.4753e+22,5.475e+22,5.474e+22,5.4742e+22,5.4752e+22,5.4752e+22,5.4743e+22,5.474e+22,5.4748e+22,5.4753e+22,5.4753e+22,5.4743e+22,5.474e+22,5.4749e+22,5.4753e+22,5.4753e+22,5.4743e+22,5.474e+22,5.4749e+22,5.4753e+22,5.4753e+22,5.4743e+22,5.474e+22,5.4748e+22,5.4753e+22,5.4753e+22,5.4743e+22,5.474e+22,5.4748e+22,5.4753e+22
1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0864e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0864e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0864e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0864e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0863e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0863e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0863e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0863e+23,1.0864e+23,1.0864e+23,1.0862e+23,1.0862e+23,1.0863e+23,1.0864e+23
1.6082e+23,1.6081e+23,1.6078e+23,1.6079e+23,1.6082e+23,1.6082e+23,1.6081e+23,1.6078e+23,1.6079e+23,1.6082e+23,1.6082e+23,1.6081e+23,1.6078e+23,1.6079e+23,1.6082e+23,1.6082e+23,1.6081e+23,1.6078e+23,1.6079e+23,1.6082e+23,1.6082e+23,1.6081e+23,1.6078e+23,1.6079e+23,1.6082e+23,1.6082e+23,1.6079e+23,1.6078e+23,1.6081e+23,1.6082e+23,1.6082e+23,1.6079e+23,1.6078e+23,1.6081e+23,1.6082e+23,1.6082e+23,1.6079e+23,1.6078e+23,1.6081e+23,1.6082e+23,1.6082e+23,1.6079e+23,1.6078e+23,1.6081e+23,1.6082e+23,1.6082e+23,1.6079e+23,1.6078e+23,1.6081e+23,1.6082e+23
2.1046e+23,2.1045e+23,2.1041e+23,2.1042e+23,2.1046e+23,2.1046e+23,2.1045e+23,2.1041e+23,2.1042e+23,2.1046e+23,2.1046e+23,2.1045e+23,2.1041e+23,2.1042e+23,2.1046e+23,2.1046e+23,2.1045e+23,2.1041e+23,2.1042e+23,2.1046e+23,2.1046e+23,2.1045e+23,2.1041e+23,2.1042e+23,2.1046e+23,2.1046e+23,2.1042e+23,2.1041e+23,2.1044e+23,2.1046e+23,2.1046e+23,2.1042e+23,2.1041e+23,2.1044e+23,2.1046e+23,2.1046e+23,2.1042e+23,2.1041e+23,2.1044e+23,2.1046e+23,2.1046e+23,2.1042e+23,2.1041e+23,2.1044e+23,2.1046e+23,2.1046e+23,2.1042e+23,2.1041e+23,2.1044e+23,2.1046e+23
2.5678e+23,2.5676e+23,2.5672e+23,2.5673e+23,2.5678e+23,2.5678e+23,2.5676e+23,2.5672e+23,2.5673e+23,2.5678e+23,2.5678e+23,2.5676e+23,2.5672e+23,2.5673e+23,2.5678e+23,2.5678e+23,2.5676e+23,2.5672e+23,2.5673e+23,2.5678e+23,2.5678e+23,2.5676e+23,2.5672e+23,2.5673e+23,2.5678e+23,2.5678e+23,2.5673e+23,2.5672e+23,2.5676e+23,2.5678e+23,2.5678e+23,2.5673e+23,2.5672e+23,2.5676e+23,2.5678e+23,2.5678e+23,2.5673e+23,2.5672e+23,2.5676e+23,2.5678e+23,2.5678e+23,2.5673e+23,2.5672e+23,2.5676e+23,2.5678e+23,2.5678e+23,2.5673e+23,2.5672e+23,2.5676e+23,2.5678e+23
2.9905e+23,2.9903e+23,2.9898e+23,2.9899e+23,2.9905e+23,2.9905e+23,2.9903e+23,2.9898e+23,2.9899e+23,2.9905e+23,2.9905e+23,2.9903e+23,2.9898e+23,2.9899e+23,2.9905e+23,2.9905e+23,2.9903e+23,2.9898e+23,2.9899e+23,2.9905e+23,2.9905e+23,2.9903e+23,2.9898e+23,2.9899e+23,2.9905e+23,2.9905e+23,2.99e+23,2.9898e+23,2.9903e+23,2.9905e+23,2.9905e+23,2.99e+23,2.9898e+23,2.9903e+23,2.9905e+23,2.9905e+23,2.99e+23,2.9898e+23,2.9903e+23,2.9905e+23,2.9905e+23,2.99e+23,2.9898e+23,2.9903e+23,2.9905e+23,2.9905e+23,2.99e+23,2.9898e+23,2.9903e+23,2.9905e+23
3.366e+23,3.3659e+23,3.3652e+23,3.3654e+23,3.366e+23,3.3661e+23,3.3659e+23,3.3652e+23,3.3654e+23,3.366e+23,3.3661e+23,3.3659e+23,3.3652e+23,3.3654e+23,3.366e+23,3.3661e+23,3.3659e+23,3.3652e+23,3.3654e+23,3.366e+23,3.3661e+23,3.3659e+23,3.3652e+23,3.3654e+23,3.366e+23,3.366e+23,3.3655e+23,3.3652e+23,3.3658e+23,3.3661e+23,3.366e+23,3.3655e+23,3.3652e+23,3.3658e+23,3.3661e+23,3.366e+23,3.3655e+23,3.3652e+23,3.3658e+23,3.3661e+23,3.366e+23,3.3655e+23,3.3652e+23,3.3658e+23,3.3661e+23,3.366e+23,3.3655e+23,3.3652e+23,3.3658e+23,3.366e+23
3.6885e+23,3.6883e+23,3.6876e+23,3.6878e+23,3.6885e+23,3.6885e+23,3.6883e+23,3.6876e+23,3.6878e+23,3.6885e+23,3.6885e+23,3.6883e+23,3.6876e+23,3.6878e+23,3.6885e+23,3.6885e+23,3.6883e+23,3.6876e+23,3.6878e+23,3.6885e+23,3.6885e+23,3.6883e+23,3.6876e+23,3.6878e+23,3.6885e+23,3.6885e+23,3.6879e+23,3.6876e+23,3.6882e+23,3.6885e+23,3.6885e+23,3.6879e+23,3.6876e+23,3.6882e+23,3.6885e+23,3.6885e+23,3.6879e+23,3.6876e+23,3.6882e+23,3.6885e+23,3.6885e+23,3.6879e+23,3.6876e+23,3.6882e+23,3.6885e+23,3.6885e+23,3.6879e+23,3.6876e+23,3.6882e+23,3.6885e+23
3.9528e+23,3.9526e+23,3.9518e+23,3.9521e+23,3.9528e+23,3.9528e+23,3.9526e+23,3.9518e+23,3.9521e+23,3.9528e+23,3.9528e+23,3.9526e+23,3.9519e+23,3.9521e+23,3.9528e+23,3.9528e+23,3.9526e+23,3.9519e+23,3.952e+23,3.9528e+23,3.9528e+23,3.9526e+23,3.9519e+23,3.952e+23,3.9528e+23,3.9528e+23,3.9521e+23,3.9519e+23,3.9525e+23,3.9528e+23,3.9528e+23,3.9521e+23,3.9519e+23,3.9525e+23,3.9528e+23,3.9528e+23,3.9521e+23,3.9519e+23,3.9525e+23,3.9528e+23,3.9528e+23,3.9521e+23,3.9519e+23,3.9525e+23,3.9528e+23,3.9528e+23,3.9521e+23,3.9519e+23,3.9525e+23,3.9528e+23
