"2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14","2,27E+14",,,
"2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14","2,26E+14",,,
"2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14","2,25E+14",,,
"2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14","2,22E+14",,,
"2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14","2,18E+14",,,
"2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14","2,14E+14",,,
"2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14","2,09E+14",,,
"2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14","2,03E+14",,,
"1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14","1,96E+14",,,
"1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14","1,88E+14",,,
